Date,Open,High,Low,Close,Volume
2014.05.09 05:06,1.381530,1.381550,1.381490,1.381500,0
2014.05.09 05:07,1.381510,1.381550,1.381490,1.381540,0
2014.05.09 05:08,1.381520,1.381570,1.381510,1.381540,0
2014.05.09 05:09,1.381550,1.381550,1.381510,1.381520,0
2014.05.09 05:10,1.381530,1.381570,1.381520,1.381550,0
2014.05.09 05:11,1.381560,1.381560,1.381490,1.381520,0
2014.05.09 05:12,1.381500,1.381540,1.381410,1.381460,0
2014.05.09 05:13,1.381470,1.381550,1.381470,1.381550,0
2014.05.09 05:14,1.381560,1.381560,1.381520,1.381530,0
2014.05.09 05:15,1.381520,1.381520,1.381430,1.381460,0
2014.05.09 05:16,1.381450,1.381480,1.381360,1.381450,0
2014.05.09 05:17,1.381440,1.381440,1.381320,1.381340,0
2014.05.09 05:18,1.381330,1.381460,1.381330,1.381410,0
2014.05.09 05:19,1.381400,1.381410,1.381370,1.381390,0
2014.05.09 05:20,1.381380,1.381380,1.381280,1.381290,0
2014.05.09 05:21,1.381300,1.381300,1.381210,1.381220,0
2014.05.09 05:22,1.381210,1.381240,1.380710,1.380790,0
2014.05.09 05:23,1.380800,1.380900,1.380290,1.380350,0
2014.05.09 05:24,1.380340,1.380710,1.380340,1.380650,0
2014.05.09 05:25,1.380640,1.380820,1.380620,1.380660,0
2014.05.09 05:26,1.380650,1.380750,1.380580,1.380580,0
2014.05.09 05:27,1.380590,1.380710,1.380580,1.380610,0
2014.05.09 05:28,1.380600,1.380610,1.380540,1.380590,0
2014.05.09 05:29,1.380600,1.380940,1.380600,1.380920,0
2014.05.09 05:30,1.380930,1.381030,1.380850,1.380970,0
2014.05.09 05:31,1.380960,1.380960,1.380890,1.380890,0
2014.05.09 05:32,1.380900,1.380910,1.380800,1.380820,0
2014.05.09 05:33,1.380830,1.380880,1.380760,1.380800,0
2014.05.09 05:34,1.380790,1.380900,1.380770,1.380900,0
2014.05.09 05:35,1.380910,1.381050,1.380910,1.381030,0
2014.05.09 05:36,1.381040,1.381080,1.381020,1.381030,0
2014.05.09 05:37,1.381050,1.381060,1.380950,1.380970,0
2014.05.09 05:38,1.380940,1.381050,1.380890,1.381050,0
2014.05.09 05:39,1.381060,1.381110,1.380960,1.381110,0
2014.05.09 05:40,1.381120,1.381180,1.381040,1.381040,0
2014.05.09 05:41,1.381030,1.381140,1.380980,1.381100,0
2014.05.09 05:42,1.381090,1.381090,1.381030,1.381030,0
2014.05.09 05:43,1.381020,1.381150,1.381000,1.381140,0
2014.05.09 05:44,1.381150,1.381220,1.381150,1.381150,0
2014.05.09 05:45,1.381160,1.381220,1.381110,1.381220,0
2014.05.09 05:46,1.381210,1.381250,1.381170,1.381230,0
2014.05.09 05:47,1.381240,1.381310,1.381230,1.381310,0
2014.05.09 05:48,1.381320,1.381380,1.381320,1.381370,0
2014.05.09 05:49,1.381360,1.381370,1.381280,1.381370,0
2014.05.09 05:50,1.381350,1.381450,1.381330,1.381440,0
2014.05.09 05:51,1.381430,1.381550,1.381430,1.381520,0
2014.05.09 05:52,1.381490,1.381490,1.381380,1.381450,0
2014.05.09 05:53,1.381440,1.381510,1.381440,1.381470,0
2014.05.09 05:54,1.381460,1.381470,1.381420,1.381460,0
2014.05.09 05:55,1.381470,1.381570,1.381470,1.381500,0
2014.05.09 05:56,1.381490,1.381560,1.381480,1.381560,0
2014.05.09 05:57,1.381570,1.381710,1.381570,1.381580,0
2014.05.09 05:58,1.381560,1.381610,1.381550,1.381600,0
2014.05.09 05:59,1.381620,1.381680,1.381600,1.381600,0
2014.05.09 06:00,1.381580,1.381690,1.381530,1.381550,0
2014.05.09 06:01,1.381560,1.381650,1.381550,1.381640,0
2014.05.09 06:02,1.381650,1.381660,1.381540,1.381550,0
2014.05.09 06:03,1.381560,1.381560,1.381490,1.381500,0
2014.05.09 06:04,1.381520,1.381530,1.381440,1.381510,0
2014.05.09 06:05,1.381500,1.381530,1.381420,1.381420,0
2014.05.09 06:06,1.381430,1.381450,1.381390,1.381400,0
2014.05.09 06:07,1.381410,1.381410,1.381320,1.381330,0
2014.05.09 06:08,1.381300,1.381340,1.381300,1.381310,0
2014.05.09 06:09,1.381300,1.381300,1.381190,1.381200,0
2014.05.09 06:10,1.381210,1.381330,1.381120,1.381330,0
2014.05.09 06:11,1.381320,1.381370,1.381310,1.381370,0
2014.05.09 06:12,1.381360,1.381370,1.381340,1.381340,0
2014.05.09 06:13,1.381350,1.381440,1.381100,1.381100,0
2014.05.09 06:14,1.381080,1.381100,1.381030,1.381030,0
2014.05.09 06:15,1.381050,1.381240,1.381050,1.381240,0
2014.05.09 06:16,1.381230,1.381230,1.381010,1.381010,0
2014.05.09 06:17,1.381020,1.381110,1.380910,1.380920,0
2014.05.09 06:18,1.380930,1.381000,1.380880,1.380950,0
2014.05.09 06:19,1.380990,1.381010,1.380980,1.381000,0
2014.05.09 06:20,1.380980,1.381030,1.380940,1.381000,0
2014.05.09 06:21,1.380990,1.381040,1.380950,1.381040,0
2014.05.09 06:22,1.381030,1.381120,1.381030,1.381070,0
2014.05.09 06:23,1.381060,1.381160,1.381050,1.381130,0
2014.05.09 06:24,1.381140,1.381160,1.381100,1.381140,0
2014.05.09 06:25,1.381110,1.381110,1.381010,1.381050,0
2014.05.09 06:26,1.381020,1.381060,1.380980,1.381060,0
2014.05.09 06:27,1.381040,1.381110,1.381040,1.381050,0
2014.05.09 06:28,1.381040,1.381110,1.381040,1.381070,0
2014.05.09 06:29,1.381080,1.381110,1.381050,1.381050,0
2014.05.09 06:30,1.381060,1.381140,1.381050,1.381110,0
2014.05.09 06:31,1.381100,1.381130,1.381060,1.381060,0
2014.05.09 06:32,1.381070,1.381120,1.381070,1.381090,0
2014.05.09 06:33,1.381050,1.381050,1.381010,1.381020,0
2014.05.09 06:34,1.381030,1.381040,1.381000,1.381020,0
2014.05.09 06:35,1.381030,1.381100,1.381030,1.381100,0
